customer_id,region,data_usage_mb_2_months_ago,data_usage_mb_last_month,data_usage_mb_this_month,days_since_recharge,complaints_last_30_days,plan_type,account_age_months,churn_risk
C-04071,Lahore Central,6254,6251,6455,3,1,prepaid,54,low
C-01379,Lahore Central,7420,6772,1713,81,2,prepaid,58,high
C-03355,Lahore Central,2327,2232,2210,12,1,postpaid,29,low
C-04910,Lahore North,4323,4529,4666,12,1,prepaid,30,low
C-03999,Lahore North,2512,2693,2630,7,0,prepaid,32,low
C-03086,Lahore South,5186,5114,1720,34,5,prepaid,18,high
C-00093,Lahore North,7898,7258,2257,74,5,postpaid,31,high
C-02938,Lahore South,3175,2737,955,76,2,prepaid,22,high
C-00787,Lahore Central,5391,5432,1147,49,4,prepaid,16,high
C-01672,Lahore South,2115,2131,543,67,4,postpaid,42,high
C-02289,Lahore South,5108,4748,1431,31,2,prepaid,3,high
C-03354,Lahore North,5714,5641,5568,14,0,prepaid,56,low
C-03259,Lahore South,4626,4812,4924,18,1,postpaid,31,low
C-03115,Lahore Central,2049,1862,381,83,3,postpaid,15,high
C-03733,Lahore North,6454,6810,6752,8,1,postpaid,27,low
C-00173,Lahore Central,6918,6247,1378,43,3,postpaid,17,high
C-01885,Lahore North,7049,6636,2395,50,4,prepaid,49,high
C-00511,Lahore South,6796,6116,2264,33,2,postpaid,59,high
C-00717,Lahore North,4472,3806,1510,84,4,prepaid,52,high
C-04732,Lahore North,2492,2613,2660,6,0,prepaid,12,low
C-03162,Lahore North,4603,3986,964,36,2,postpaid,18,high
C-00667,Lahore South,4568,4128,1066,68,5,postpaid,59,high
C-00460,Lahore Central,3290,3206,921,61,4,prepaid,48,high
C-01844,Lahore South,5846,5863,1473,72,4,prepaid,33,high
C-04495,Lahore South,4281,4561,4567,3,0,prepaid,8,low
C-04050,Lahore Central,6157,5918,6027,12,1,prepaid,56,low
C-03238,Lahore Central,6313,6137,6411,1,1,prepaid,36,low
C-02097,Lahore Central,6174,6180,2034,40,3,postpaid,34,high
C-04136,Lahore Central,3260,3027,3059,13,1,postpaid,41,low
C-02133,Lahore North,4401,3846,1104,44,5,postpaid,13,high
C-01016,Lahore North,4318,4203,999,56,3,prepaid,21,high
C-03398,Lahore Central,5440,5734,5615,7,0,postpaid,15,low
C-01511,Lahore Central,2731,2411,942,36,4,postpaid,59,high
C-00026,Lahore North,3804,3238,1105,44,2,prepaid,58,high
C-01452,Lahore South,6881,5992,1368,87,3,prepaid,7,high
C-04548,Lahore Central,4439,4672,4707,14,0,prepaid,38,low
C-03983,Lahore South,3272,3422,3562,4,0,postpaid,13,low
C-04275,Lahore Central,3487,3466,3536,18,0,postpaid,5,low
C-03863,Lahore Central,7151,7259,7188,13,0,prepaid,9,low
C-00865,Lahore North,4779,4107,1468,55,2,prepaid,54,high
C-00015,Lahore South,3796,3870,881,35,2,prepaid,12,high
C-01440,Lahore North,7282,7061,2458,53,3,postpaid,20,high
C-01461,Lahore South,6517,6261,1837,57,5,prepaid,19,high
C-00538,Lahore South,6660,6429,1518,79,4,prepaid,58,high
C-04831,Lahore North,6490,6167,6301,16,0,postpaid,21,low
C-03988,Lahore North,5054,5226,5175,15,0,prepaid,41,low
C-03361,Lahore North,4107,4365,4191,6,0,prepaid,24,low
C-02183,Lahore South,5677,4947,1704,79,4,postpaid,40,high
C-02469,Lahore North,4310,3792,826,80,5,prepaid,24,high
C-02837,Lahore South,5806,4955,1155,69,5,postpaid,7,high
C-01212,Lahore North,5069,5091,1221,56,2,prepaid,24,high
C-00484,Lahore North,4262,3999,1533,80,5,prepaid,29,high
C-04677,Lahore Central,6945,6403,6084,17,1,prepaid,54,low
C-00237,Lahore Central,4283,3822,851,41,5,postpaid,38,high
C-04423,Lahore Central,5120,5010,4975,12,1,postpaid,25,low
C-03356,Lahore South,7971,7423,7477,11,1,prepaid,9,low
C-00091,Lahore North,6049,6016,1421,52,4,postpaid,20,high
C-03498,Lahore South,3705,3689,3644,6,0,prepaid,20,low
C-02518,Lahore North,6615,5718,1824,78,2,prepaid,35,high
C-00935,Lahore South,5572,5558,1809,74,2,postpaid,35,high
C-02340,Lahore Central,7380,6644,2063,78,5,prepaid,59,high
C-01851,Lahore South,5250,4750,1493,84,4,prepaid,43,high
C-04791,Lahore North,4162,3972,3937,6,1,prepaid,26,low
C-03766,Lahore Central,6631,6818,6940,16,0,postpaid,41,low
C-03763,Lahore Central,3219,2962,2883,18,0,postpaid,53,low
C-02450,Lahore South,6881,6396,1953,76,2,prepaid,34,high
C-04538,Lahore Central,7396,7260,6909,13,1,postpaid,57,low
C-01316,Lahore South,7546,7066,2445,61,2,postpaid,3,high
C-04397,Lahore North,2294,2230,2128,8,0,postpaid,8,low
C-01489,Lahore North,5719,5498,2031,88,3,prepaid,26,high
C-03765,Lahore North,2995,3102,3144,14,0,prepaid,37,low
C-04541,Lahore Central,2246,2182,2228,15,0,postpaid,36,low
C-03336,Lahore Central,4173,4002,3804,4,0,prepaid,4,low
C-00083,Lahore Central,6740,5758,1510,88,5,postpaid,48,high
C-00549,Lahore Central,6588,6459,2066,72,4,postpaid,10,high
C-02281,Lahore South,7905,7571,1635,59,3,postpaid,57,high
C-00150,Lahore South,5232,4459,1370,53,4,postpaid,55,high
C-03788,Lahore Central,5089,5286,5384,4,0,postpaid,13,low
C-04650,Lahore North,6839,6459,6528,15,1,prepaid,35,low
C-03568,Lahore Central,4769,4628,4527,1,1,prepaid,56,low
C-04917,Lahore Central,6739,6839,6958,7,1,prepaid,22,low
C-00565,Lahore South,6185,6081,2187,74,2,postpaid,27,high
C-03956,Lahore Central,7364,7592,7937,17,0,postpaid,3,low
C-03972,Lahore South,4962,4823,4931,7,1,prepaid,52,low
C-02143,Lahore Central,4059,3811,1072,84,5,prepaid,54,high
C-00817,Lahore Central,3222,2986,771,66,5,prepaid,16,high
C-03017,Lahore South,6702,6796,1916,57,3,prepaid,48,high
C-01249,Lahore North,6645,6568,1557,77,3,prepaid,19,high
C-03174,Lahore North,6797,6230,1938,41,4,prepaid,51,high
C-03865,Lahore Central,5454,5095,5204,2,1,prepaid,56,low
C-03764,Lahore Central,3933,3727,3827,7,0,postpaid,36,low
C-02415,Lahore North,5491,5084,1339,69,4,prepaid,47,high
C-03132,Lahore North,4282,4209,1206,88,2,prepaid,39,high
C-02968,Lahore Central,4123,3978,1156,78,3,postpaid,53,high
C-03941,Lahore North,3349,3465,3603,17,0,prepaid,18,low
C-00713,Lahore Central,3477,3280,987,40,5,postpaid,60,high
C-00353,Lahore South,7333,7447,1692,68,3,postpaid,23,high
C-01244,Lahore Central,5464,4798,1369,49,5,postpaid,49,high
C-01112,Lahore South,2197,2188,576,35,2,prepaid,37,high
C-02886,Lahore South,7619,7356,1846,73,4,postpaid,20,high
C-01727,Lahore Central,4613,4022,1212,59,2,postpaid,44,high
C-00199,Lahore South,7293,6412,1600,58,3,postpaid,26,high
C-04316,Lahore South,3032,3259,3165,14,0,postpaid,34,low
C-01180,Lahore South,2584,2354,727,42,4,postpaid,22,high
C-02199,Lahore North,5680,5058,1013,34,4,postpaid,4,high
C-02587,Lahore Central,4193,3658,880,71,3,postpaid,13,high
C-01191,Lahore Central,6529,5746,2098,61,2,prepaid,15,high
C-02221,Lahore North,4526,4415,1242,48,4,prepaid,48,high
C-02937,Lahore North,7816,7402,2596,63,2,prepaid,14,high
C-03584,Lahore North,4340,4544,4473,5,0,prepaid,27,low
C-02928,Lahore Central,6624,6602,1790,60,3,postpaid,20,high
C-00539,Lahore North,7607,7603,2626,60,5,prepaid,59,high
C-02790,Lahore Central,7480,7397,2429,67,4,prepaid,18,high
C-02858,Lahore North,4426,4257,946,75,5,prepaid,14,high
C-02425,Lahore North,3115,3141,632,32,3,postpaid,26,high
C-02338,Lahore North,4370,3926,927,75,5,postpaid,40,high
C-03252,Lahore North,7872,7960,8356,17,1,postpaid,48,low
C-03646,Lahore Central,3560,3811,3623,16,0,prepaid,43,low
C-03134,Lahore Central,4865,4644,1497,50,2,prepaid,50,high
C-01214,Lahore South,5405,5065,1839,65,3,prepaid,37,high
C-01652,Lahore South,6961,6933,2474,62,2,postpaid,20,high
C-02128,Lahore South,2179,1996,536,31,5,postpaid,49,high
C-00581,Lahore South,7756,7751,2699,71,2,prepaid,4,high
C-04663,Lahore South,6266,6424,6733,12,0,prepaid,19,low
C-02508,Lahore Central,3727,3634,1429,67,4,prepaid,42,high
C-00863,Lahore North,7183,6640,1579,42,2,prepaid,34,high
C-00390,Lahore South,7180,6430,1818,34,2,postpaid,35,high
C-04989,Lahore Central,7149,6958,7058,17,0,postpaid,4,low
C-01572,Lahore Central,6965,6391,2118,34,2,postpaid,37,high
C-04932,Lahore Central,3320,3288,3227,14,0,postpaid,60,low
C-01745,Lahore North,6907,6798,2222,44,3,prepaid,48,high
C-04750,Lahore Central,6705,7106,7013,4,0,prepaid,35,low
C-00544,Lahore South,6027,5451,1450,33,3,postpaid,28,high
C-02248,Lahore North,7908,7220,1811,47,4,postpaid,4,high
C-02251,Lahore Central,2027,1774,361,79,5,postpaid,3,high
C-02900,Lahore South,5676,5374,1615,88,2,prepaid,36,high
C-03940,Lahore North,7642,7838,7910,12,0,prepaid,36,low
C-02767,Lahore North,3351,3091,1170,35,3,prepaid,31,high
C-04217,Lahore Central,3890,3951,3847,5,1,prepaid,49,low
C-01206,Lahore North,7491,7320,2173,35,3,postpaid,11,high
C-03767,Lahore Central,2103,2091,2093,10,1,postpaid,33,low
C-03632,Lahore South,5664,5310,5490,18,1,prepaid,8,low
C-02609,Lahore Central,7747,7591,2062,63,3,postpaid,3,high
C-01757,Lahore South,5309,4959,1451,40,3,postpaid,21,high
C-02724,Lahore South,7885,7787,2262,44,5,prepaid,9,high
C-02651,Lahore North,7059,6407,1842,83,5,prepaid,51,high
C-02943,Lahore North,5558,5526,1231,66,3,postpaid,56,high
C-02406,Lahore North,6714,5903,2297,85,3,postpaid,36,high
C-03870,Lahore South,6115,6323,6094,7,1,postpaid,53,low
C-04355,Lahore Central,7311,7265,7405,11,0,postpaid,23,low
C-04162,Lahore South,3757,3464,3567,8,0,prepaid,4,low
C-03921,Lahore South,2381,2556,2597,18,1,postpaid,50,low
C-04332,Lahore South,6726,6783,7055,14,1,postpaid,35,low
C-01711,Lahore Central,3919,3839,1459,36,5,postpaid,52,high
C-03344,Lahore Central,4432,4428,4237,17,0,prepaid,54,low
C-00947,Lahore North,5967,5840,1217,32,2,postpaid,10,high
C-01272,Lahore South,5179,5264,1389,81,3,prepaid,9,high
C-03093,Lahore North,3872,3322,731,54,5,postpaid,51,high
C-02083,Lahore South,6957,6579,1892,80,5,prepaid,48,high
C-01271,Lahore North,4567,4622,1457,49,2,prepaid,57,high
C-03148,Lahore Central,5316,5043,1828,48,3,prepaid,51,high
C-04036,Lahore Central,6695,6484,6243,13,0,postpaid,8,low
C-00586,Lahore South,7618,6865,1491,54,5,prepaid,33,high
C-01061,Lahore South,2497,2346,667,65,2,postpaid,60,high
C-02847,Lahore South,3473,2977,819,72,4,prepaid,44,high
C-03812,Lahore Central,7093,6577,6634,10,1,postpaid,11,low
C-00439,Lahore South,4685,4100,1403,55,2,postpaid,19,high
C-00155,Lahore Central,5398,5189,1903,56,4,prepaid,47,high
C-01470,Lahore Central,2542,2327,745,43,2,postpaid,48,high
C-01100,Lahore South,4497,4580,1193,31,3,prepaid,53,high
C-04208,Lahore Central,3267,3148,3146,5,0,postpaid,57,low
C-01805,Lahore North,4246,3623,1234,72,4,postpaid,56,high
C-04504,Lahore North,2016,2012,2027,14,0,prepaid,22,low
C-00140,Lahore South,5618,5678,2257,70,5,postpaid,32,high
C-03974,Lahore Central,7946,7313,7373,2,1,postpaid,47,low
C-01432,Lahore Central,4851,4296,1023,66,2,postpaid,55,high
C-00445,Lahore North,5135,4961,1163,88,3,postpaid,20,high
C-01095,Lahore South,3065,2853,825,73,5,postpaid,58,high
C-00624,Lahore North,6901,6894,1942,30,2,prepaid,36,high
C-02004,Lahore Central,2548,2578,879,48,3,prepaid,36,high
C-03531,Lahore Central,5198,5284,5287,8,0,prepaid,26,low
C-01739,Lahore Central,7942,6857,2643,49,5,postpaid,4,high
C-00542,Lahore North,4832,4652,1527,83,2,prepaid,44,high
C-02895,Lahore North,4499,4334,1335,69,5,postpaid,56,high
C-00946,Lahore South,3026,2680,1061,74,2,prepaid,4,high
C-04519,Lahore South,5889,6170,6276,11,1,postpaid,31,low
C-02967,Lahore North,3169,2955,714,89,2,postpaid,43,high
C-01012,Lahore South,4144,4016,938,69,5,postpaid,12,high
C-01825,Lahore North,3214,2844,672,64,2,prepaid,37,high
C-00134,Lahore Central,7606,7655,3058,35,5,prepaid,51,high
C-00763,Lahore Central,2204,1940,617,87,3,postpaid,8,high
C-00073,Lahore South,6445,5988,1272,54,2,postpaid,33,high
C-04047,Lahore Central,4512,4787,4720,12,1,postpaid,32,low
C-03874,Lahore Central,4597,4784,4911,7,0,prepaid,53,low
C-04878,Lahore South,4473,4710,4631,10,1,prepaid,3,low
C-03249,Lahore Central,4607,4336,4450,10,0,postpaid,25,low
C-00077,Lahore North,7265,6704,2503,33,4,postpaid,23,high
C-01287,Lahore North,7667,7808,2609,79,5,postpaid,20,high
C-04729,Lahore Central,4962,4691,4847,2,0,postpaid,27,low
C-04413,Lahore Central,6218,6388,6642,14,1,prepaid,16,low
C-00142,Lahore South,4940,4681,1865,31,5,postpaid,3,high
C-02991,Lahore North,6474,5942,2013,33,3,prepaid,5,high
C-03519,Lahore South,6452,6330,6064,4,0,postpaid,10,low
C-03183,Lahore Central,4440,4405,963,44,5,prepaid,47,high
C-02412,Lahore South,2308,1995,544,49,2,postpaid,21,high
C-03435,Lahore South,4083,4107,4141,1,1,prepaid,22,low
C-04945,Lahore Central,3900,3960,3903,15,0,prepaid,34,low
C-00082,Lahore North,6963,6637,2320,79,3,postpaid,9,high
C-01868,Lahore North,2840,2786,890,72,5,postpaid,55,high
C-04414,Lahore North,3535,3654,3699,6,1,postpaid,25,low
C-02353,Lahore South,2984,2664,635,55,3,prepaid,40,high
C-04472,Lahore South,2305,2165,2134,1,0,prepaid,50,low
C-04760,Lahore South,4913,5009,4926,14,0,prepaid,30,low
C-03142,Lahore North,7856,7909,2475,68,2,prepaid,14,high
C-00272,Lahore North,4569,4208,1189,56,5,prepaid,48,high
C-01072,Lahore North,5744,5822,2044,80,2,prepaid,35,high
C-02402,Lahore South,3149,2865,1040,41,3,prepaid,46,high
C-02952,Lahore Central,6382,6290,2334,37,2,postpaid,23,high
C-01411,Lahore North,5725,5171,2000,34,4,postpaid,25,high
C-03419,Lahore South,4771,4659,4633,15,0,prepaid,52,low
C-03899,Lahore Central,6729,6753,6892,3,0,postpaid,24,low
C-02096,Lahore Central,5684,5417,2022,88,3,postpaid,42,high
C-00112,Lahore South,6899,5910,1692,68,4,prepaid,8,high
C-02397,Lahore Central,2312,2275,697,63,2,postpaid,44,high
C-04620,Lahore South,5197,5472,5198,17,1,postpaid,59,low
C-04320,Lahore South,7412,7984,8251,19,0,prepaid,46,low
C-04003,Lahore Central,6778,6348,6544,5,0,prepaid,7,low
C-02873,Lahore North,7513,7076,2134,52,3,postpaid,50,high
C-03319,Lahore Central,2741,2576,2451,4,1,postpaid,43,low
C-03298,Lahore North,7862,7380,7527,18,1,prepaid,8,low
C-04188,Lahore South,3025,3241,3128,16,1,prepaid,32,low
C-03125,Lahore Central,3439,3472,1274,30,3,prepaid,14,high
C-02737,Lahore North,5260,4944,1609,61,3,prepaid,15,high
C-01951,Lahore North,7046,6452,2464,73,5,postpaid,25,high
C-00248,Lahore Central,2646,2361,772,47,3,postpaid,42,high
C-03282,Lahore Central,2538,2709,2813,16,1,postpaid,7,low
C-02368,Lahore North,3345,3228,696,30,5,prepaid,17,high
C-03013,Lahore Central,2266,2115,685,38,2,postpaid,22,high
C-02139,Lahore North,3368,2890,668,45,4,postpaid,32,high
C-03432,Lahore Central,5597,5358,5362,7,0,prepaid,39,low
C-03911,Lahore North,4502,4376,4545,18,0,prepaid,12,low
C-01283,Lahore Central,7334,6245,2155,36,3,postpaid,30,high
C-02166,Lahore North,3793,3791,946,89,2,postpaid,29,high
C-01058,Lahore Central,4734,4030,1314,57,5,postpaid,50,high
C-04742,Lahore Central,4772,4842,4717,4,1,postpaid,57,low
C-04043,Lahore Central,2002,1938,1895,2,1,postpaid,49,low
C-04614,Lahore South,7622,7484,7565,13,0,prepaid,51,low
C-00876,Lahore North,3429,3270,678,75,5,prepaid,43,high
C-04891,Lahore North,6791,7185,7287,10,0,postpaid,35,low
C-02761,Lahore North,4225,3603,1393,66,5,prepaid,40,high
C-04670,Lahore North,6033,6010,5929,12,1,prepaid,16,low
C-02810,Lahore North,4758,4634,1625,42,3,prepaid,36,high
C-04567,Lahore North,4824,5146,4933,15,1,postpaid,31,low
C-00396,Lahore South,3294,3047,609,42,3,postpaid,13,high
C-02436,Lahore Central,3352,3286,922,35,5,prepaid,53,high
C-00089,Lahore North,7988,7594,2008,83,2,postpaid,59,high
C-03245,Lahore North,4418,4637,4836,10,0,postpaid,16,low
C-01725,Lahore North,4138,4191,1191,55,2,postpaid,54,high
C-03240,Lahore Central,2616,2582,2453,4,1,prepaid,13,low
C-02343,Lahore North,3559,3090,1136,48,3,postpaid,28,high
C-04471,Lahore North,2865,2845,2800,19,1,postpaid,28,low
C-03267,Lahore South,6845,6968,6922,13,1,prepaid,50,low
C-01676,Lahore North,3377,2871,707,35,3,prepaid,13,high
C-03365,Lahore South,7218,6827,6757,17,1,prepaid,57,low
C-04380,Lahore North,4274,3935,4099,19,0,postpaid,59,low
C-00666,Lahore North,7016,6645,2457,35,3,postpaid,17,high
C-04764,Lahore Central,5880,5493,5718,16,1,prepaid,8,low
C-04207,Lahore North,5738,5495,5766,19,1,postpaid,47,low
C-02144,Lahore South,2298,2034,650,83,4,prepaid,41,high
C-02607,Lahore South,5039,4970,1420,59,2,postpaid,60,high
C-03599,Lahore Central,3709,3487,3479,9,0,postpaid,45,low
C-03587,Lahore Central,4422,4736,4666,20,0,prepaid,45,low
C-02821,Lahore South,5901,5660,1914,82,4,postpaid,9,high
C-04236,Lahore North,7601,7625,7823,14,1,prepaid,58,low
C-02619,Lahore Central,2000,1941,395,33,2,postpaid,17,high
C-00192,Lahore Central,3616,3180,733,34,3,postpaid,32,high
C-03958,Lahore South,3982,3902,4050,13,1,prepaid,25,low
C-01841,Lahore South,3182,3198,669,78,3,prepaid,9,high
C-03577,Lahore North,4907,5104,5344,8,0,prepaid,22,low
C-02464,Lahore Central,7408,6472,1443,73,2,prepaid,10,high
C-03551,Lahore Central,6552,6457,6427,5,0,prepaid,8,low
C-03890,Lahore North,2448,2391,2323,18,1,postpaid,5,low
C-02272,Lahore South,6868,6459,2024,57,3,postpaid,20,high
C-03493,Lahore South,4223,4028,4092,18,1,postpaid,18,low
C-04010,Lahore North,6527,6866,6964,19,0,postpaid,56,low
C-04032,Lahore North,3334,3459,3391,5,0,prepaid,8,low
C-04708,Lahore South,2727,2518,2550,2,1,prepaid,46,low
C-01433,Lahore Central,4980,4246,1610,82,2,postpaid,44,high
C-03105,Lahore North,7343,6841,2729,60,2,prepaid,9,high
C-02590,Lahore North,6735,6362,1542,37,2,prepaid,3,high
C-04627,Lahore Central,7690,8190,8483,15,1,prepaid,47,low
C-04346,Lahore Central,2147,2004,2024,18,1,prepaid,36,low
C-02018,Lahore South,4425,3780,1248,35,4,postpaid,52,high
C-03487,Lahore South,2862,2755,2832,8,0,postpaid,57,low
C-02740,Lahore South,3047,2962,1164,82,3,prepaid,12,high
